Entry	Entry name	Protein names	Gene names	Organism	Length	yourlist:M20201112E5A08BB0B2D1C45B0C7BC3B55FD2655603D8DDF	isomap:M20201112E5A08BB0B2D1C45B0C7BC3B55FD2655603D8DDF
Q8N0X2	SPG16_HUMAN	Sperm-associated antigen 16 protein (Pf20 protein homolog)	SPAG16 PF20	Homo sapiens (Human)	631	ENSG00000144451	ENSG00000144451 -> Q8N0X2-1;Q8N0X2-4
Q19AV6	ZSWM7_HUMAN	Zinc finger SWIM domain-containing protein 7 (SWIM domain-containing and Srs2-interacting protein 1 homolog) (SWIM-type zinc finger domain-containing protein 7)	ZSWIM7 SWS1	Homo sapiens (Human)	140	ENSG00000214941	
Q8IYM1	SEP12_HUMAN	Septin-12	SEPTIN12 SEPT12	Homo sapiens (Human)	358	ENSG00000140623	ENSG00000140623 -> Q8IYM1-1;Q8IYM1-2
Q9NR64	KLHL1_HUMAN	Kelch-like protein 1	KLHL1 KIAA1490	Homo sapiens (Human)	748	ENSG00000150361	
Q9UPV0	CE164_HUMAN	Centrosomal protein of 164 kDa (Cep164)	CEP164 KIAA1052 NPHP15	Homo sapiens (Human)	1460	ENSG00000110274	ENSG00000110274 -> Q9UPV0-1
Q7Z7G2	CPLX4_HUMAN	Complexin-4 (Complexin IV) (CPX IV)	CPLX4	Homo sapiens (Human)	160	ENSG00000166569	
Q14994	NR1I3_HUMAN	Nuclear receptor subfamily 1 group I member 3 (Constitutive activator of retinoid response) (Constitutive active response) (Constitutive androstane receptor) (CAR) (Orphan nuclear receptor MB67)	NR1I3 CAR	Homo sapiens (Human)	352	ENSG00000143257	ENSG00000143257 -> Q14994-1;Q14994-10;Q14994-11;Q14994-12;Q14994-13;Q14994-15;Q14994-16;Q14994-2;Q14994-3;Q14994-4;Q14994-5;Q14994-6;Q14994-7;Q14994-8;Q14994-9
Q8TAM1	BBS10_HUMAN	Bardet-Biedl syndrome 10 protein	BBS10 C12orf58	Homo sapiens (Human)	723	ENSG00000179941	
Q9UNI1	CELA1_HUMAN	Chymotrypsin-like elastase family member 1 (EC 3.4.21.36) (Elastase-1) (Pancreatic elastase 1)	CELA1 ELA1	Homo sapiens (Human)	258	ENSG00000139610	
P49703	ARL4D_HUMAN	ADP-ribosylation factor-like protein 4D (ADP-ribosylation factor-like protein 4L)	ARL4D ARF4L	Homo sapiens (Human)	201	ENSG00000175906	
Q5QGZ9	CL12A_HUMAN	C-type lectin domain family 12 member A (C-type lectin-like molecule 1) (CLL-1) (Dendritic cell-associated lectin 2) (DCAL-2) (Myeloid inhibitory C-type lectin-like receptor) (MICL) (CD antigen CD371)	CLEC12A CLL1 DCAL2 MICL	Homo sapiens (Human)	265	ENSG00000172322	ENSG00000172322 -> Q5QGZ9-1;Q5QGZ9-2;Q5QGZ9-4;Q5QGZ9-5
Q8NI29	FBX27_HUMAN	F-box only protein 27 (F-box/G-domain protein 5)	FBXO27 FBG5 FBX27	Homo sapiens (Human)	283	ENSG00000161243	
Q8N608	DPP10_HUMAN	Inactive dipeptidyl peptidase 10 (Dipeptidyl peptidase IV-related protein 3) (DPRP-3) (Dipeptidyl peptidase X) (DPP X) (Dipeptidyl peptidase-like protein 2) (DPL2)	DPP10 DPRP3 KIAA1492	Homo sapiens (Human)	796	ENSG00000175497	ENSG00000175497 -> Q8N608-1;Q8N608-2;Q8N608-3;Q8N608-4
Q9P2G3	KLH14_HUMAN	Kelch-like protein 14 (Protein interactor of Torsin-1A) (Printor) (Protein interactor of torsinA)	KLHL14 KIAA1384	Homo sapiens (Human)	628	ENSG00000197705	ENSG00000197705 -> Q9P2G3-1;Q9P2G3-2
Q15038	DAZP2_HUMAN	DAZ-associated protein 2 (Deleted in azoospermia-associated protein 2)	DAZAP2 KIAA0058	Homo sapiens (Human)	168	ENSG00000183283	ENSG00000183283 -> Q15038-1;Q15038-2;Q15038-3;Q15038-4;Q15038-5;Q15038-6
Q13702	RAPSN_HUMAN	43 kDa receptor-associated protein of the synapse (RAPsyn) (43 kDa postsynaptic protein) (Acetylcholine receptor-associated 43 kDa protein) (RING finger protein 205)	RAPSN RNF205	Homo sapiens (Human)	412	ENSG00000165917	ENSG00000165917 -> Q13702-1;Q13702-2
O75469	NR1I2_HUMAN	Nuclear receptor subfamily 1 group I member 2 (Orphan nuclear receptor PAR1) (Orphan nuclear receptor PXR) (Pregnane X receptor) (Steroid and xenobiotic receptor) (SXR)	NR1I2 PXR	Homo sapiens (Human)	434	ENSG00000144852	ENSG00000144852 -> O75469-7
Q8N239	KLH34_HUMAN	Kelch-like protein 34	KLHL34	Homo sapiens (Human)	644	ENSG00000185915	
Q8WXJ9	ASB17_HUMAN	Ankyrin repeat and SOCS box protein 17 (ASB-17)	ASB17	Homo sapiens (Human)	295	ENSG00000154007	
O14595	CTDS2_HUMAN	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2 (EC 3.1.3.16) (Nuclear LIM interactor-interacting factor 2) (NLI-interacting factor 2) (Protein OS-4) (Small C-terminal domain phosphatase 2) (Small CTD phosphatase 2) (SCP2)	CTDSP2 NIF2 OS4 SCP2	Homo sapiens (Human)	271	ENSG00000175215	
Q9Y2H9	MAST1_HUMAN	Microtubule-associated serine/threonine-protein kinase 1 (EC 2.7.11.1) (Syntrophin-associated serine/threonine-protein kinase)	MAST1 KIAA0973 SAST	Homo sapiens (Human)	1570	ENSG00000105613	
Q8WZ74	CTTB2_HUMAN	Cortactin-binding protein 2 (CortBP2)	CTTNBP2 C7orf8 CORTBP2 KIAA1758	Homo sapiens (Human)	1663	ENSG00000077063	
Q8IVW4	CDKL3_HUMAN	Cyclin-dependent kinase-like 3 (EC 2.7.11.22) (Serine/threonine-protein kinase NKIAMRE)	CDKL3 NKIAMRE	Homo sapiens (Human)	592	ENSG00000006837	ENSG00000006837 -> Q8IVW4-1;Q8IVW4-2
Q6AZY7	SCAR3_HUMAN	Scavenger receptor class A member 3 (Cellular stress response gene protein)	SCARA3 CSR	Homo sapiens (Human)	606	ENSG00000168077	ENSG00000168077 -> Q6AZY7-1;Q6AZY7-2
Q9UKU6	TRHDE_HUMAN	Thyrotropin-releasing hormone-degrading ectoenzyme (TRH-DE) (TRH-degrading ectoenzyme) (EC 3.4.19.6) (Pyroglutamyl-peptidase II) (PAP-II) (TRH-specific aminopeptidase) (Thyroliberinase)	TRHDE UNQ2507/PRO5995	Homo sapiens (Human)	1024	ENSG00000072657	
Q8IZ13	ZBED8_HUMAN	Protein ZBED8 (Transposon-derived Buster3 transposase-like protein) (Zinc finger BED domain-containing protein 8)	ZBED8 Buster3 C5orf54	Homo sapiens (Human)	594	ENSG00000221886	
Q9H816	DCR1B_HUMAN	5' exonuclease Apollo (EC 3.1.-.-) (DNA cross-link repair 1B protein) (SNM1 homolog B) (SNMIB) (hSNM1B)	DCLRE1B SNM1B	Homo sapiens (Human)	532	ENSG00000118655	
Q9BUU2	MET22_HUMAN	Methyltransferase-like protein 22 (EC 2.1.1.-)	METTL22 C16orf68 LP8272	Homo sapiens (Human)	404	ENSG00000067365	ENSG00000067365 -> Q9BUU2-1;Q9BUU2-2
Q8N831	TSYL6_HUMAN	Testis-specific Y-encoded-like protein 6 (TSPY-like protein 6)	TSPYL6	Homo sapiens (Human)	410	ENSG00000178021	
P30304	MPIP1_HUMAN	M-phase inducer phosphatase 1 (EC 3.1.3.48) (Dual specificity phosphatase Cdc25A)	CDC25A	Homo sapiens (Human)	524	ENSG00000164045	ENSG00000164045 -> P30304-1;P30304-2
Q9GZV8	PRD14_HUMAN	PR domain zinc finger protein 14 (EC 2.1.1.-) (PR domain-containing protein 14)	PRDM14	Homo sapiens (Human)	571	ENSG00000147596	
Q96KS9	F167A_HUMAN	Protein FAM167A	FAM167A C8orf13	Homo sapiens (Human)	214	ENSG00000154319	
O95718	ERR2_HUMAN	Steroid hormone receptor ERR2 (ERR beta-2) (Estrogen receptor-like 2) (Estrogen-related receptor beta) (ERR-beta) (Nuclear receptor subfamily 3 group B member 2)	ESRRB ERRB2 ESRL2 NR3B2	Homo sapiens (Human)	433	ENSG00000119715	ENSG00000119715 -> O95718-1;O95718-2
O60733	PLPL9_HUMAN	85/88 kDa calcium-independent phospholipase A2 (CaI-PLA2) (EC 3.1.1.4) (2-lysophosphatidylcholine acylhydrolase) (EC 3.1.1.5) (Group VI phospholipase A2) (GVI PLA2) (Intracellular membrane-associated calcium-independent phospholipase A2 beta) (iPLA2-beta) (Palmitoyl-CoA hydrolase) (EC 3.1.2.2) (Patatin-like phospholipase domain-containing protein 9) (PNPLA9)	PLA2G6 PLPLA9	Homo sapiens (Human)	806	ENSG00000184381	ENSG00000184381 -> O60733-1;O60733-2
Q8WXR4	MYO3B_HUMAN	Myosin-IIIb (EC 2.7.11.1)	MYO3B	Homo sapiens (Human)	1341	ENSG00000071909	ENSG00000071909 -> Q8WXR4-1;Q8WXR4-3;Q8WXR4-4
Q9BZR9	TRIM8_HUMAN	E3 ubiquitin-protein ligase TRIM8 (EC 2.3.2.27) (Glioblastoma-expressed RING finger protein) (RING finger protein 27) (RING-type E3 ubiquitin transferase TRIM8) (Tripartite motif-containing protein 8)	TRIM8 GERP RNF27	Homo sapiens (Human)	551	ENSG00000171206	
Q9BXM7	PINK1_HUMAN	Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)	PINK1	Homo sapiens (Human)	581	ENSG00000158828	ENSG00000158828 -> Q9BXM7-1
Q8WWF3	SSMM1_HUMAN	Serine-rich single-pass membrane protein 1	SSMEM1 C7orf45	Homo sapiens (Human)	244	ENSG00000165120	
Q9UGM1	ACHA9_HUMAN	Neuronal acetylcholine receptor subunit alpha-9 (Nicotinic acetylcholine receptor subunit alpha-9) (NACHR alpha-9)	CHRNA9 NACHRA9	Homo sapiens (Human)	479	ENSG00000174343	
Q8WTQ7	GRK7_HUMAN	Rhodopsin kinase GRK7 (EC 2.7.11.14) (G protein-coupled receptor kinase 7) (G protein-coupled receptor kinase GRK7)	GRK7 GPRK7	Homo sapiens (Human)	553	ENSG00000114124	
Q8TDV5	GP119_HUMAN	Glucose-dependent insulinotropic receptor (G-protein coupled receptor 119)	GPR119	Homo sapiens (Human)	335	ENSG00000147262	
Q8NAC3	I17RC_HUMAN	Interleukin-17 receptor C (IL-17 receptor C) (IL-17RC) (Interleukin-17 receptor homolog) (IL17Rhom) (Interleukin-17 receptor-like protein) (IL-17RL) (ZcytoR14)	IL17RC UNQ6118/PRO20040/PRO38901	Homo sapiens (Human)	791	ENSG00000163702	ENSG00000163702 -> Q8NAC3-1;Q8NAC3-2;Q8NAC3-3;Q8NAC3-5;Q8NAC3-6;Q8NAC3-7
Q5BN46	CI116_HUMAN	UPF0691 protein C9orf116 (p53-induced expression in RB-null cells protein 1) (Pierce1)	C9orf116	Homo sapiens (Human)	136	ENSG00000160345	ENSG00000160345 -> Q5BN46-1;Q5BN46-2
Q8NHQ1	CEP70_HUMAN	Centrosomal protein of 70 kDa (Cep70) (p10-binding protein)	CEP70 BITE	Homo sapiens (Human)	597	ENSG00000114107	ENSG00000114107 -> Q8NHQ1-1;Q8NHQ1-2;Q8NHQ1-3;Q8NHQ1-4
P42702	LIFR_HUMAN	Leukemia inhibitory factor receptor (LIF receptor) (LIF-R) (CD antigen CD118)	LIFR	Homo sapiens (Human)	1097	ENSG00000113594	ENSG00000113594 -> P42702-1
O14682	ENC1_HUMAN	Ectoderm-neural cortex protein 1 (ENC-1) (Kelch-like protein 37) (Nuclear matrix protein NRP/B) (p53-induced gene 10 protein)	ENC1 KLHL37 NRPB PIG10	Homo sapiens (Human)	589	ENSG00000171617	ENSG00000171617 -> O14682-1;O14682-2
Q5BKY1	LRC10_HUMAN	Leucine-rich repeat-containing protein 10	LRRC10	Homo sapiens (Human)	277	ENSG00000198812	
Q9NXB0	MKS1_HUMAN	Meckel syndrome type 1 protein	MKS1	Homo sapiens (Human)	559	ENSG00000011143	ENSG00000011143 -> Q9NXB0-1;Q9NXB0-3
P23945	FSHR_HUMAN	Follicle-stimulating hormone receptor (FSH-R) (Follitropin receptor)	FSHR LGR1	Homo sapiens (Human)	695	ENSG00000170820	
O15259	NPHP1_HUMAN	Nephrocystin-1 (Juvenile nephronophthisis 1 protein)	NPHP1 NPH1	Homo sapiens (Human)	732	ENSG00000144061	ENSG00000144061 -> O15259-1;O15259-2;O15259-3;O15259-4
O94955	RHBT3_HUMAN	Rho-related BTB domain-containing protein 3 (EC 3.6.1.-)	RHOBTB3 KIAA0878	Homo sapiens (Human)	611	ENSG00000164292	
Q8N9H9	CA127_HUMAN	Uncharacterized protein C1orf127	C1orf127	Homo sapiens (Human)	656	ENSG00000175262	
O14796	SH21B_HUMAN	SH2 domain-containing protein 1B (EWS/FLI1-activated transcript 2) (EAT-2)	SH2D1B EAT2	Homo sapiens (Human)	132	ENSG00000198574	ENSG00000198574 -> O14796-1
Q6UWQ5	LYZL1_HUMAN	Lysozyme-like protein 1 (EC 3.2.1.17)	LYZL1 LYC2 UNQ648/PRO1278	Homo sapiens (Human)	148	ENSG00000120563	ENSG00000120563 -> Q6UWQ5-1;Q6UWQ5-2
P18505	GBRB1_HUMAN	Gamma-aminobutyric acid receptor subunit beta-1 (GABA(A) receptor subunit beta-1)	GABRB1	Homo sapiens (Human)	474	ENSG00000163288	ENSG00000163288 -> P18505-1;P18505-2
Q6UXT9	ABH15_HUMAN	Protein ABHD15 (EC 3.1.1.-) (Alpha/beta hydrolase domain-containing protein 15) (Abhydrolase domain-containing protein 15)	ABHD15 UNQ6510/PRO21435	Homo sapiens (Human)	468	ENSG00000168792	
O75460	ERN1_HUMAN	Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]	ERN1 IRE1	Homo sapiens (Human)	977	ENSG00000178607	ENSG00000178607 -> O75460-1;O75460-2
Q8NEA6	GLIS3_HUMAN	Zinc finger protein GLIS3 (GLI-similar 3) (Zinc finger protein 515)	GLIS3 ZNF515	Homo sapiens (Human)	775	ENSG00000107249	ENSG00000107249 -> Q8NEA6-1;Q8NEA6-2
Q6ZMZ0	RN19B_HUMAN	E3 ubiquitin-protein ligase RNF19B (EC 2.3.2.31) (IBR domain-containing protein 3) (Natural killer lytic-associated molecule) (RING finger protein 19B)	RNF19B IBRDC3 NKLAM	Homo sapiens (Human)	732	ENSG00000116514	ENSG00000116514 -> Q6ZMZ0-1;Q6ZMZ0-2;Q6ZMZ0-4
P13866	SC5A1_HUMAN	Sodium/glucose cotransporter 1 (Na(+)/glucose cotransporter 1) (High affinity sodium-glucose cotransporter) (Solute carrier family 5 member 1)	SLC5A1 NAGT SGLT1	Homo sapiens (Human)	664	ENSG00000100170	ENSG00000100170 -> P13866-1;P13866-2
Q9NZJ5	E2AK3_HUMAN	Eukaryotic translation initiation factor 2-alpha kinase 3 (EC 2.7.11.1) (PRKR-like endoplasmic reticulum kinase) (Pancreatic eIF2-alpha kinase) (HsPEK)	EIF2AK3 PEK PERK	Homo sapiens (Human)	1116	ENSG00000172071	
Q6ZN16	M3K15_HUMAN	Mitogen-activated protein kinase kinase kinase 15 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 3) (MAPK/ERK kinase kinase 15) (MEK kinase 15) (MEKK 15)	MAP3K15 ASK3	Homo sapiens (Human)	1313	ENSG00000180815	ENSG00000180815 -> Q6ZN16-1
Q99689	FEZ1_HUMAN	Fasciculation and elongation protein zeta-1 (Zygin I) (Zygin-1)	FEZ1	Homo sapiens (Human)	392	ENSG00000149557	ENSG00000149557 -> Q99689-1;Q99689-2
Q8IVU3	HERC6_HUMAN	Probable E3 ubiquitin-protein ligase HERC6 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 6) (HECT-type E3 ubiquitin transferase HERC6)	HERC6	Homo sapiens (Human)	1022	ENSG00000138642	ENSG00000138642 -> Q8IVU3-1;Q8IVU3-2
Q8IWU9	TPH2_HUMAN	Tryptophan 5-hydroxylase 2 (EC 1.14.16.4) (Neuronal tryptophan hydroxylase) (Tryptophan 5-monooxygenase 2)	TPH2 NTPH	Homo sapiens (Human)	490	ENSG00000139287	ENSG00000139287 -> Q8IWU9-1
O00206	TLR4_HUMAN	Toll-like receptor 4 (EC 3.2.2.6) (hToll) (CD antigen CD284)	TLR4	Homo sapiens (Human)	839	ENSG00000136869	ENSG00000136869 -> O00206-1;O00206-2
Q8N8Q3	ENDOV_HUMAN	Endonuclease V (hEndoV) (EC 3.1.26.-) (Inosine-specific endoribonuclease)	ENDOV	Homo sapiens (Human)	282	ENSG00000173818	ENSG00000173818 -> Q8N8Q3-1;Q8N8Q3-2;Q8N8Q3-3;Q8N8Q3-4;Q8N8Q3-5
Q8WUT9	S2543_HUMAN	Solute carrier family 25 member 43	SLC25A43	Homo sapiens (Human)	341	ENSG00000077713	ENSG00000077713 -> Q8WUT9-1
Q8NET5	NFAM1_HUMAN	NFAT activation molecule 1 (Calcineurin/NFAT-activating ITAM-containing protein) (NFAT-activating protein with ITAM motif 1)	NFAM1 CNAIP	Homo sapiens (Human)	270	ENSG00000235568	
Q16445	GBRA6_HUMAN	Gamma-aminobutyric acid receptor subunit alpha-6 (GABA(A) receptor subunit alpha-6)	GABRA6	Homo sapiens (Human)	453	ENSG00000145863	
Q969Q1	TRI63_HUMAN	E3 ubiquitin-protein ligase TRIM63 (EC 2.3.2.27) (Iris RING finger protein) (Muscle-specific RING finger protein 1) (MuRF-1) (MuRF1) (RING finger protein 28) (RING-type E3 ubiquitin transferase TRIM63) (Striated muscle RING zinc finger protein) (Tripartite motif-containing protein 63)	TRIM63 IRF MURF1 RNF28 SMRZ	Homo sapiens (Human)	353	ENSG00000158022	ENSG00000158022 -> Q969Q1-1
P11801	KPSH1_HUMAN	Serine/threonine-protein kinase H1 (EC 2.7.11.1) (Protein serine kinase H1) (PSK-H1)	PSKH1	Homo sapiens (Human)	424	ENSG00000159792	
Q8WTW4	NPRL2_HUMAN	GATOR complex protein NPRL2 (Gene 21 protein) (G21 protein) (Nitrogen permease regulator 2-like protein) (NPR2-like protein) (Tumor suppressor candidate 4)	NPRL2 TUSC4	Homo sapiens (Human)	380	ENSG00000114388	ENSG00000114388 -> Q8WTW4-1
Q6NUS6	TECT3_HUMAN	Tectonic-3	TCTN3 C10orf61 TECT3 PSEC0041 UNQ1881/PRO4324	Homo sapiens (Human)	607	ENSG00000119977	ENSG00000119977 -> Q6NUS6-1;Q6NUS6-2;Q6NUS6-5
Q96MN2	NALP4_HUMAN	NACHT, LRR and PYD domains-containing protein 4 (Cancer/testis antigen 58) (CT58) (PAAD and NACHT-containing protein 2) (PAN2) (PYRIN and NACHT-containing protein 2) (PYRIN-containing APAF1-like protein 4) (PYPAF4) (Ribonuclease inhibitor 2)	NLRP4 NALP4 PAN2 PYPAF4 RNH2	Homo sapiens (Human)	994	ENSG00000160505	ENSG00000160505 -> Q96MN2-1;Q96MN2-3
Q16821	PPR3A_HUMAN	Protein phosphatase 1 regulatory subunit 3A (Protein phosphatase 1 glycogen-associated regulatory subunit) (Protein phosphatase type-1 glycogen targeting subunit) (RG1)	PPP1R3A PP1G	Homo sapiens (Human)	1122	ENSG00000154415	ENSG00000154415 -> Q16821-1;Q16821-2
O76083	PDE9A_HUMAN	High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A (EC 3.1.4.35)	PDE9A	Homo sapiens (Human)	593	ENSG00000160191	ENSG00000160191 -> O76083-1;O76083-11;O76083-12;O76083-13;O76083-14;O76083-15;O76083-2;O76083-3;O76083-4;O76083-5;O76083-6;O76083-8;O76083-9
Q2WGJ6	KLH38_HUMAN	Kelch-like protein 38	KLHL38 C8orfK36	Homo sapiens (Human)	581	ENSG00000175946	
Q2NKJ3	CTC1_HUMAN	CST complex subunit CTC1 (Conserved telomere maintenance component 1) (HBV DNAPTP1-transactivated protein B)	CTC1 C17orf68	Homo sapiens (Human)	1217	ENSG00000178971	ENSG00000178971 -> Q2NKJ3-1;Q2NKJ3-2
Q96NL6	SCLT1_HUMAN	Sodium channel and clathrin linker 1 (Sodium channel-associated protein 1)	SCLT1 SAP1	Homo sapiens (Human)	688	ENSG00000151466	ENSG00000151466 -> Q96NL6-1;Q96NL6-3;Q96NL6-4
Q9BZJ4	S2539_HUMAN	Solute carrier family 25 member 39	SLC25A39 CGI-69 PRO2163	Homo sapiens (Human)	359	ENSG00000013306	ENSG00000013306 -> Q9BZJ4-1;Q9BZJ4-2
Q12809	KCNH2_HUMAN	Potassium voltage-gated channel subfamily H member 2 (Eag homolog) (Ether-a-go-go-related gene potassium channel 1) (ERG-1) (Eag-related protein 1) (Ether-a-go-go-related protein 1) (H-ERG) (hERG-1) (hERG1) (Voltage-gated potassium channel subunit Kv11.1)	KCNH2 ERG ERG1 HERG	Homo sapiens (Human)	1159	ENSG00000055118	ENSG00000055118 -> Q12809-1;Q12809-2
Q9NRA1	PDGFC_HUMAN	Platelet-derived growth factor C (PDGF-C) (Fallotein) (Spinal cord-derived growth factor) (SCDGF) (VEGF-E) [Cleaved into: Platelet-derived growth factor C, latent form (PDGFC latent form); Platelet-derived growth factor C, receptor-binding form (PDGFC receptor-binding form)]	PDGFC SCDGF UNQ174/PRO200	Homo sapiens (Human)	345	ENSG00000145431	ENSG00000145431 -> Q9NRA1-1;Q9NRA1-2
Q8NDG6	TDRD9_HUMAN	ATP-dependent RNA helicase TDRD9 (EC 3.6.4.13) (Tudor domain-containing protein 9)	TDRD9 C14orf75	Homo sapiens (Human)	1382	ENSG00000156414	ENSG00000156414 -> Q8NDG6-1
Q96PN8	TSSK3_HUMAN	Testis-specific serine/threonine-protein kinase 3 (TSK-3) (TSSK-3) (Testis-specific kinase 3) (EC 2.7.11.1) (Serine/threonine-protein kinase 22C)	TSSK3 SPOGA3 STK22C	Homo sapiens (Human)	268	ENSG00000162526	
P43364	MAGAB_HUMAN	Melanoma-associated antigen 11 (Cancer/testis antigen 1.11) (CT1.11) (MAGE-11 antigen)	MAGEA11 MAGE11	Homo sapiens (Human)	429	ENSG00000185247	ENSG00000185247 -> P43364-1
Q6P1J6	PLB1_HUMAN	Phospholipase B1, membrane-associated (Phospholipase B) (hPLB) (Lysophospholipase) (EC 3.1.1.5) (Phospholipase A2) (EC 3.1.1.4) (Phospholipase B/lipase) (PLB/LIP) (Triacylglycerol lipase) (EC 3.1.1.3)	PLB1 PLB	Homo sapiens (Human)	1458	ENSG00000163803	ENSG00000163803 -> Q6P1J6-1;Q6P1J6-3
Q6UXU6	TMM92_HUMAN	Transmembrane protein 92	TMEM92 UNQ5801/PRO19608	Homo sapiens (Human)	159	ENSG00000167105	
Q8WY54	PPM1E_HUMAN	Protein phosphatase 1E (EC 3.1.3.16) (Ca(2+)/calmodulin-dependent protein kinase phosphatase N) (CaMKP-N) (CaMKP-nucleus) (CaMKN) (Partner of PIX 1) (Partner of PIX-alpha) (Partner of PIXA)	PPM1E CAMKN KIAA1072 POPX1	Homo sapiens (Human)	755	ENSG00000175175	ENSG00000175175 -> Q8WY54-2
Q9Y5X9	LIPE_HUMAN	Endothelial lipase (EC 3.1.1.3) (Endothelial cell-derived lipase) (EDL) (EL) (Phospholipase A1) (EC 3.1.1.32)	LIPG UNQ387/PRO719	Homo sapiens (Human)	500	ENSG00000101670	ENSG00000101670 -> Q9Y5X9-1;Q9Y5X9-2
Q14590	ZN235_HUMAN	Zinc finger protein 235 (Zinc finger protein 270) (Zinc finger protein 93 homolog) (Zfp-93) (Zinc finger protein HZF6)	ZNF235 ZFP93 ZNF270	Homo sapiens (Human)	738	ENSG00000159917	ENSG00000159917 -> Q14590-1;Q14590-2
Q13705	AVR2B_HUMAN	Activin receptor type-2B (EC 2.7.11.30) (Activin receptor type IIB) (ACTR-IIB)	ACVR2B	Homo sapiens (Human)	512	ENSG00000114739	ENSG00000114739 -> Q13705-1
Q9BYZ6	RHBT2_HUMAN	Rho-related BTB domain-containing protein 2 (Deleted in breast cancer 2 gene protein) (p83)	RHOBTB2 DBC2 KIAA0717	Homo sapiens (Human)	727	ENSG00000008853	ENSG00000008853 -> Q9BYZ6-1;Q9BYZ6-2;Q9BYZ6-3
O75908	SOAT2_HUMAN	Sterol O-acyltransferase 2 (EC 2.3.1.26) (Acyl-coenzyme A:cholesterol acyltransferase 2) (ACAT-2) (Cholesterol acyltransferase 2)	SOAT2 ACACT2 ACAT2	Homo sapiens (Human)	522	ENSG00000167780	ENSG00000167780 -> O75908-1;O75908-4
Q8NER5	ACV1C_HUMAN	Activin receptor type-1C (EC 2.7.11.30) (Activin receptor type IC) (ACTR-IC) (Activin receptor-like kinase 7) (ALK-7)	ACVR1C ALK7	Homo sapiens (Human)	493	ENSG00000123612	ENSG00000123612 -> Q8NER5-1;Q8NER5-2;Q8NER5-3;Q8NER5-4
Q8NBT0	POC1A_HUMAN	POC1 centriolar protein homolog A (Pix2) (Proteome of centriole protein 1A) (WD repeat-containing protein 51A)	POC1A WDR51A	Homo sapiens (Human)	407	ENSG00000164087	ENSG00000164087 -> Q8NBT0-1;Q8NBT0-2;Q8NBT0-3
Q9Y253	POLH_HUMAN	DNA polymerase eta (EC 2.7.7.7) (RAD30 homolog A) (Xeroderma pigmentosum variant type protein)	POLH RAD30 RAD30A XPV	Homo sapiens (Human)	713	ENSG00000170734	ENSG00000170734 -> Q9Y253-1;Q9Y253-2
P15172	MYOD1_HUMAN	Myoblast determination protein 1 (Class C basic helix-loop-helix protein 1) (bHLHc1) (Myogenic factor 3) (Myf-3)	MYOD1 BHLHC1 MYF3 MYOD	Homo sapiens (Human)	320	ENSG00000129152	
Q9Y239	NOD1_HUMAN	Nucleotide-binding oligomerization domain-containing protein 1 (Caspase recruitment domain-containing protein 4)	NOD1 CARD4	Homo sapiens (Human)	953	ENSG00000106100	ENSG00000106100 -> Q9Y239-1
Q9NRP7	STK36_HUMAN	Serine/threonine-protein kinase 36 (EC 2.7.11.1) (Fused homolog)	STK36 KIAA1278	Homo sapiens (Human)	1315	ENSG00000163482	ENSG00000163482 -> Q9NRP7-1;Q9NRP7-2
Q9HB29	ILRL2_HUMAN	Interleukin-1 receptor-like 2 (EC 3.2.2.6) (IL-36 receptor) (IL-36R) (Interleukin-1 receptor-related protein 2) (IL-1Rrp2) (IL1R-rp2)	IL1RL2 IL1RRP2	Homo sapiens (Human)	575	ENSG00000115598	ENSG00000115598 -> Q9HB29-1;Q9HB29-2
Q7RTS1	BHA15_HUMAN	Class A basic helix-loop-helix protein 15 (bHLHa15) (Class B basic helix-loop-helix protein 8) (bHLHb8) (Muscle, intestine and stomach expression 1) (MIST-1)	BHLHA15 BHLHB8 MIST1	Homo sapiens (Human)	189	ENSG00000180535	
Q15834	CC85B_HUMAN	Coiled-coil domain-containing protein 85B (Hepatitis delta antigen-interacting protein A) (Delta-interacting protein A)	CCDC85B DIPA	Homo sapiens (Human)	202	ENSG00000175602	
Q7Z699	SPRE1_HUMAN	Sprouty-related, EVH1 domain-containing protein 1 (Spred-1) (hSpred1)	SPRED1	Homo sapiens (Human)	444	ENSG00000166068	
P29965	CD40L_HUMAN	CD40 ligand (CD40-L) (T-cell antigen Gp39) (TNF-related activation protein) (TRAP) (Tumor necrosis factor ligand superfamily member 5) (CD antigen CD154) [Cleaved into: CD40 ligand, membrane form; CD40 ligand, soluble form (sCD40L)]	CD40LG CD40L TNFSF5 TRAP	Homo sapiens (Human)	261	ENSG00000102245	
